City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,21.73,71,2,5.88,CV,1701280797
83,wenchang,30.904,118.4887,8.58,67,80,4.88,CN,1701280797
84,acapulco de juarez,16.8634,-99.8901,29.41,65,46,1.87,MX,1701280797
85,nacozari de garcia,30.3742,-109.6908,18.01,42,0,4.7,MX,1701280797
86,college,64.8569,-147.8028,-6.82,93,75,1.54,US,1701280707
87,anadyr,64.75,177.4833,-2.72,86,75,9.0,RU,1701280708
88,kiunga,-6.1219,141.2906,23.2,99,100,0.18,PG,1701280798
89,hitoyoshi,32.2167,130.75,10.91,87,97,0.96,JP,1701280798
90,katsuura,35.1333,140.3,13.49,55,47,13.85,JP,1701280799
91,kirensk,57.7853,108.1119,-16.13,87,100,2.24,RU,1701280799
92,dudinka,69.4058,86.1778,-28.45,100,91,0.99,RU,1701280703
93,xining,36.6167,101.7667,-4.23,73,26,0.77,CN,1701280705
94,choibalsan,48.0667,114.5,-19.64,85,8,5.08,MN,1701280799
95,boca suno,-0.7167,-77.1333,29.77,59,68,1.36,EC,1701280800
96,arraial do cabo,-22.9661,-42.0278,29.92,66,100,6.69,BR,1701280800
97,cockburn town,21.4612,-71.1419,28.98,65,40,4.12,TC,1701280738
98,suining,30.508,105.5733,12.59,85,100,3.32,CN,1701280801
99,jamestown,42.097,-79.2353,-2.21,56,100,2.24,US,1701280663
100,tiksi,71.6872,128.8694,-9.65,90,100,13.29,RU,1701280740
101,al jawf,29.5,38.75,16.37,54,0,5.02,SA,1701280803
102,whitehorse,60.7161,-135.0538,-10.57,85,20,10.29,CA,1701280699
103,st. john's,47.5649,-52.7093,3.77,92,100,3.6,CA,1701280589
104,pacific grove,36.6177,-121.9166,14.68,86,100,1.79,US,1701280807
105,lebu,-37.6167,-73.65,15.06,69,2,6.16,CL,1701280810
106,haiku-pauwela,20.9219,-156.3051,22.8,92,40,1.54,US,1701280811
107,al bardiyah,31.7561,25.0865,18.33,35,61,4.49,LY,1701280812
108,tralee,52.2704,-9.7026,5.14,87,20,3.09,IE,1701280813
109,hithadhoo,-0.6,73.0833,28.04,75,79,4.69,MV,1701280737
110,astaneh-ye ashrafiyeh,37.2596,49.9444,13.12,86,34,1.28,IR,1701280814
111,badger,64.8,-147.5333,-6.86,95,75,1.54,US,1701280712
112,olyokminsk,60.3736,120.4264,-14.19,92,100,5.99,RU,1701280815
113,codrington,-38.2667,141.9667,13.49,84,100,7.07,AU,1701280816
114,santa ana,33.7456,-117.8678,18.4,63,75,1.54,US,1701280745
115,klyuchi,52.2667,79.1667,1.37,59,99,5.05,RU,1701280705
116,fort frances,48.5999,-93.4003,0.65,79,39,4.12,CA,1701280818
117,midvagur,62.0511,-7.1939,4.46,81,100,4.63,FO,1701280818
118,gandajika,-6.75,23.95,20.73,96,100,1.88,CD,1701280819
119,dakhla,23.6848,-15.958,22.01,56,0,4.12,EH,1701280820
120,mkushi,-13.6202,29.3939,17.87,92,95,2.66,ZM,1701280821
121,san antonio de pale,-1.4014,5.6325,27.3,80,72,3.48,GQ,1701280823
122,benjamin aceval,-24.9667,-57.5667,36.08,43,16,2.51,PY,1701280823
